detected_frequency,expected_frequency,hit,Rmax,R_ratio,time
10.0,6.666666666666667,False,0.17658910819821064,0.9423830402521127,11:12:19
7.5,7.5,True,0.21635214141646306,0.8915564186158892,11:12:27
8.571428571428571,10.0,False,0.25798772235037093,0.7393162919939211,11:12:34
10.0,0.0,False,0.16654443876976593,0.9752428681337278,11:12:42
6.666666666666667,10.0,False,0.24164397398829904,0.6290201541246435,11:12:50
8.571428571428571,8.571428571428571,True,0.21445635065057958,0.9498473174464749,11:12:57
7.5,0.0,False,0.23697448778473312,0.8163886962182245,11:13:05
10.0,7.5,False,0.23045854409304828,0.9704640886767253,11:13:13
10.0,6.666666666666667,False,0.2945529700614086,0.5999176606336866,11:13:20
10.0,7.5,False,0.23220933262134444,0.7471138276324976,11:13:28
6.666666666666667,7.5,False,0.1768869944403649,0.984237508719568,11:13:36
6.666666666666667,7.5,False,0.19402334579074546,0.9257072820810601,11:13:43
7.5,8.571428571428571,False,0.2407580997439971,0.7216847028749791,11:13:51
6.666666666666667,10.0,False,0.26552473282243383,0.7194989422336883,11:13:59
7.5,8.571428571428571,False,0.21168443798066808,0.9835172483426393,11:14:06
10.0,7.5,False,0.2227340421222175,0.895143579417834,11:14:14
7.5,7.5,True,0.19751345226053807,0.947664836218745,11:14:22
7.5,7.5,True,0.1558663252606609,0.9142902138523952,11:14:29
7.5,6.666666666666667,False,0.19001062043862607,0.8359009843573418,11:14:37
10.0,6.666666666666667,False,0.20742418928158185,0.8113657872428157,11:14:44
8.571428571428571,8.571428571428571,True,0.23690458452592725,0.7279232788253139,11:14:52
6.666666666666667,7.5,False,0.2024731524403514,0.9323941333513857,11:15:00
7.5,10.0,False,0.19238486835769472,0.9816393411677425,11:15:07
10.0,0.0,False,0.2329493501348106,0.7261162348781002,11:15:15
8.571428571428571,10.0,False,0.18053643722644697,0.9444082137448068,11:15:23
